StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID8_TEXT""}"
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you a music major or instructor at Brigham Young University?,Are / were you a music major or instructor at a university?,Do you have perfect pitch (absolute pitch)?,Choose the (type of) instrument that you are best at:,"How many years of formal training have you had on that instrument? (Type ""0"" if you have had no formal training in that instrument.)",How many years of formal PIANO training have you had? (Type 0 if you have had no formal piano training.)
2013-07-17 22:56:40,2013-07-17 22:57:08,Survey Preview,,,28,True,2013-07-17 22:57:08,R_9LC3DDMtacCgfad,,,,,40.356292724609,-111.73249816895,,,No,Yes,No,Piano,16,16
2013-07-17 23:03:07,2013-07-17 23:04:33,IP Address,69.169.160.21,,86,True,2013-07-17 23:04:33,R_205Ck6yuMbH5Jdj,,,,,40.21809387207,-111.61329650879,,,No,No,No,Vocal,0,8
2013-07-17 23:04:12,2013-07-17 23:05:05,IP Address,70.187.183.84,,53,True,2013-07-17 23:05:05,R_cw1io9Wal4QXpPL,,,,,33.669494628906,-117.8231048584,,,No,No,No,Brass,1,0
2013-07-17 23:10:54,2013-07-17 23:11:45,IP Address,66.219.245.200,,51,True,2013-07-17 23:11:45,R_1NYUBBLT4naG3NX,,,,,40.233795166016,-111.65850067139,,,Yes,Yes,Yes,Piano,19,19
2013-07-17 23:18:47,2013-07-17 23:19:16,IP Address,216.190.238.162,,29,True,2013-07-17 23:19:16,R_bKHxbhtXT3aVust,,,,,40.842102050781,-111.90560150146,,,No,No,Yes,Piano,0,0
2013-07-18 00:33:16,2013-07-18 00:33:54,IP Address,65.130.226.154,,38,True,2013-07-18 00:33:54,R_6YHianxDDyDDhLT,,,,,40.760803222656,-111.89109802246,,,No,No,No,String,8,0
2013-07-18 00:41:24,2013-07-18 00:42:08,IP Address,69.169.131.51,,44,True,2013-07-18 00:42:08,R_3RfwEGbSmwDKA4d,,,,,40.233795166016,-111.65850067139,,,No,No,No,String,4,5
2013-07-18 01:04:58,2013-07-18 01:08:01,IP Address,66.91.195.72,,183,True,2013-07-18 01:08:01,R_8cbrNAKMaai1Zbv,,,,,21.566604614258,-157.8908996582,,,Yes,Yes,Yes,String,6,3
2013-07-18 02:00:33,2013-07-18 02:01:18,IP Address,76.102.204.142,,45,True,2013-07-18 02:01:18,R_cvf4Iih6VzRXUIR,,,,,37.871597290039,-122.27279663086,,,No,No,No,Piano,8,11
2013-07-18 04:11:06,2013-07-18 04:12:10,IP Address,71.235.228.85,,64,True,2013-07-18 04:12:10,R_bNKr6FjbunV489T,,,,,41.85270690918,-72.736198425293,,,No,No,No,Percussion,4,0
2013-07-18 13:52:14,2013-07-18 13:53:00,IP Address,128.187.97.26,,46,True,2013-07-18 13:53:00,R_eKvH0csKiMrQPA1,,,,,40.356292724609,-111.73249816895,,,No,No,No,String,0,0
